
10:17:32 Aguarde ... Processando no servidor.
10:18:35 Recalculando seletividade do índice FK_CENTRO_CUSTO_RAT_REF                                                                      

10:18:35 Recalculando seletividade do índice PK_TAB_SCANNTECH_FECH_CUPOM                                                                  

10:18:35 Recalculando seletividade do índice TAB_SCANNTECH_FECH_CUPOM_IDX1                                                                

10:18:35 Recalculando seletividade do índice FK_TAB_SCANNTECH_FECH_CUPOM_LJ                                                               

10:18:35 Recalculando seletividade do índice PK_TAB_USUARIO_TELA_ATIVA                                                                    

10:18:35 Recalculando seletividade do índice PK_TAB_TABELA_CAMPO_AUDT                                                                     

10:18:35 Recalculando seletividade do índice FK_TAB_TABELA_CAMPO_AUDT                                                                     

10:18:35 Recalculando seletividade do índice PK_TAB_LOTE                                                                                  

10:18:35 Recalculando seletividade do índice FK_TAB_LOTE_LJ                                                                               

10:18:35 Recalculando seletividade do índice FK_TAB_LOTE_MOTORISTA                                                                        

10:18:35 Recalculando seletividade do índice FK_TAB_LOTE_VEICULO                                                                          

10:18:35 Recalculando seletividade do índice FK_TAB_LOTE_CID                                                                              

10:18:35 Recalculando seletividade do índice FK_TAB_LOTE_SIGLA                                                                            

10:18:35 Recalculando seletividade do índice PK_TAB_TABELA_AUDT                                                                           

10:18:35 Recalculando seletividade do índice PK_TAB_PARAMETRO_ESTADO                                                                      

10:18:35 Recalculando seletividade do índice FK_TAB_PAR_ESTADO_TRIB                                                                       

10:18:35 Recalculando seletividade do índice FK_TAB_PAR_ESTADO_UF                                                                         

10:18:35 Recalculando seletividade do índice PK_TAB_DIARIO_HISTORICO                                                                      

10:18:35 Recalculando seletividade do índice IDX_DIARIO_HIST_COD_LOTE_LANCTO                                                              

10:18:35 Recalculando seletividade do índice PK_TAB_SAT                                                                                   

